FILM;ID ACTEUR;
tt0907895;nm0330240;
tt0141121;nm0000483;
tt0141121;nm0005279;
tt0120591;nm0000246;
tt0120591;nm0000671;
tt0120591;nm0000255;
tt0227868;nm0442948;
tt0227868;nm0724656;
tt0227868;nm0815718;
tt0083015;nm0001943;
tt0080671;nm0860233;
tt0078801;nm0001934;
tt0079117;nm0001699;
tt0077394;nm0779963;
tt0074085;nm0004309;
tt0074085;nm0626259;
tt0071292;nm0789208;
tt0071292;nm0492342;
tt0069822;nm0001464;
tt0069822;nm0138354;
tt0069806;nm0764134;
tt0069179;nm0000308;
tt0069179;nm0834754;
tt0084726;nm0000638;
tt0084726;nm0000559;
tt0084726;nm0001420;
tt0060438;nm0799014;
tt0060438;nm0000036;
tt0224066;nm0155043;
tt0224066;nm0511695;
tt0061599;nm0289960;
tt0061599;nm0409049;
tt0060410;nm0365778;
tt0060410;nm0439170;
tt0059704;nm0000811;
tt0059704;nm0909117;
tt0059704;nm0003110;
tt0059287;nm0002088;
tt0059287;nm0382722;
tt0059287;nm0002046;
tt0051267;nm0001656;
tt0051267;nm0676928;
tt0051267;nm0079475;
tt0294702;nm0005994;
tt0294702;nm0003123;
tt0294702;nm0001141;
tt0058440;nm0456565;
tt0058440;nm0006471;
tt0056745;nm0058001;
tt0056745;nm0176684;
tt0056745;nm0867538;
tt0056762;nm0001588;
tt0056762;nm0260020;
tt0056762;nm0852076;
tt0185731;nm0625822;
tt0185731;nm0889636;
tt0090522;nm0001058;
tt0090522;nm0001922;
tt0088583;nm0113617;
tt0081777;nm0000556;
tt0081777;nm0065235;
tt0078652;nm0001546;
tt0078652;nm0000474;
tt0078652;nm0518323;
tt0076890;nm0460773;
tt0076890;nm0001381;
tt0070068;nm0001902;
tt0061736;nm0828447;
tt0061736;nm0486057;
tt0062873;nm0000366;
tt0062873;nm0001995;
tt0062873;nm0233753;
tt0061830;nm0726839;
tt0061830;nm0144252;
tt0055676;nm0948685;
tt0055676;nm0001991;
tt0051911;nm0872456;
tt0049815;nm0431139;
tt0047050;nm0001289;
tt0047050;nm0007222;
tt0046912;nm0191950;
tt0040051;nm0299026;
tt0040051;nm3238776;
tt0043204;nm0924668;
tt0043204;nm0285576;
tt0091212;nm0780485;
tt0091212;nm0298386;
tt1518190;nm0248324;
tt0088744;nm0751425;
tt0088744;nm2583700;
tt0089910;nm0873661;
tt0085114;nm0000960;
tt0762803;nm0607659;
tt0762803;nm0334438;
tt0762803;nm0089944;
tt0063467;nm0178509;
tt0061452;nm0000634;
tt0061634;nm0001790;
tt0059431;nm0001509;
tt0057933;nm0001539;
tt0057917;nm0000042;
tt0055718;nm0130286;
tt0055264;nm0079399;
tt0055264;nm0264770;
tt0053583;nm0201626;
tt0054142;nm0641397;
tt0053884;nm0002022;
tt0053884;nm0738042;
tt0053045;nm0427700;
tt0053045;nm0108270;
tt0051393;nm0432827;
tt0050298;nm0287769;
tt0050298;nm0000904;
tt0050208;nm0916067;
tt0050192;nm0562920;
tt0049714;nm0687958;
tt0049714;nm0634313;
tt0065727;nm0000043;
tt0065727;nm0679909;
tt0065727;nm1223851;
tt0060421;nm0534297;
tt0060421;nm0441004;
tt0044243;nm0796662;
tt0044243;nm0002143;
tt0044243;nm0874139;
tt0043238;nm0000558;
tt0043238;nm0699149;
tt0043238;nm0825264;
tt0184097;nm0191807;
tt0184097;nm0593775;
tt0184097;nm0950019;
tt0043183;nm0604960;
tt0043183;nm0177642;
tt0043183;nm0786836;
tt0045203;nm0779923;
tt0045203;nm0194742;
tt0042144;nm0560857;
tt0042144;nm0365259;
tt0042144;nm0553014;
tt0041037;nm0303128;
tt0041037;nm0479011;
tt0041037;nm0572844;
tt0041883;nm0001105;
tt0040479;nm0293530;
tt0040479;nm0368779;
tt0040754;nm0146542;
tt0040754;nm0280178;
tt0100889;nm0598720;
tt0100361;nm0001632;
tt0100361;nm0001097;
tt0094530;nm0703811;
tt0094530;nm0286110;
tt0097351;nm0000126;
tt0097351;nm0000469;
tt0097351;nm0000501;
tt0094787;nm0646037;
tt0094787;nm0002027;
tt0096003;nm0000751;
tt0096003;nm0165101;
tt0092781;nm0625075;
tt0092781;nm0003679;
tt0092187;nm0257151;
tt0092187;nm0489504;
tt0092105;nm0001164;
tt0090701;nm0778016;
tt0090701;nm0740070;
tt0090491;nm0494432;
tt0089496;nm0452288;
tt0089966;nm0715622;
tt0086058;nm0000442;
tt0077594;nm0000045;
tt0070034;nm0768334;
tt0070034;nm0446485;
tt0068935;nm0001569;
tt0068935;nm0583963;
tt0068767;nm0862875;
tt0066681;nm0556848;
tt0066681;nm0725052;
tt0067824;nm0947935;
tt0064638;nm0402281;
tt0062569;nm0114543;
tt0062569;nm0792385;
tt0062569;nm0815800;
tt0062547;nm0366566;
tt0062547;nm0404298;
tt0062547;nm0730435;
tt0061266;nm0000994;
tt0061266;nm0303168;
tt0061266;nm0593285;
tt0059991;nm0931868;
tt0059991;nm0906147;
tt0059968;nm0001842;
tt0059968;nm0911431;
tt0059968;nm0621002;
tt0060008;nm0498422;
tt0060008;nm0000926;
tt0060008;nm1569020;
tt0193458;nm0628736;
tt0193458;nm1720239;
tt0193289;nm1951287;
tt0193289;nm1138888;
tt0059712;nm0000046;
tt0040053;nm0838047;
tt0040053;nm0915590;
tt0040053;nm0795971;
tt0055382;nm0114982;
tt0914702;nm0290136;
tt0914702;nm0121588;
tt0914702;nm0382105;
tt0047978;nm0603336;
tt0040098;nm0601476;
tt0038390;nm0001647;
tt0034272;nm0610253;
tt0033238;nm0001791;
tt0033238;nm0914778;
tt0032179;nm0052203;
tt0030989;nm0000859;
tt10627584;nm5098066;
tt10627584;nm0139528;
tt13463216;nm13970926;
tt13463216;nm13970927;
tt13463216;nm8561818;
tt3032274;nm0516272;
tt3032274;nm0093793;
tt1483419;nm2188652;
tt1483419;nm2860525;
tt0875034;nm0000358;
tt0875034;nm0182839;
tt0875034;nm0004851;
tt0418590;nm1207852;
tt0367360;nm0277116;
tt0367360;nm0664175;
